127.0.0.1, 2013-12-20 16:26:54, GET, /rxncon/static/images/gplus-32.png, HTTP/1.1, 200, 0.002416
127.0.0.1, 2013-12-20 16:26:55, GET, /rxncon/static/images/favicon.ico, HTTP/1.1, 200, 0.002386
127.0.0.1, 2013-12-20 16:27:01, GET, /rxncon/default/index, HTTP/1.1, 200, 0.059109
127.0.0.1, 2013-12-20 16:27:07, GET, /admin/default/peek/rxncon/views/default/index.html, HTTP/1.1, 200, 0.065499
127.0.0.1, 2013-12-20 16:27:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2013-12-20 16:27:09, GET, /rxncon/default/index, HTTP/1.1, 200, 0.055619
127.0.0.1, 2013-12-20 16:27:29, GET, /rxncon/default/index, HTTP/1.1, 200, 0.051901
127.0.0.1, 2013-12-20 16:27:55, GET, /admin/default/site, HTTP/1.1, 200, 0.075042
127.0.0.1, 2013-12-20 16:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2013-12-20 16:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2013-12-20 16:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2013-12-20 16:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2013-12-20 16:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000295
127.0.0.1, 2013-12-20 16:27:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2013-12-20 16:28:02, GET, /rxncon/default/index, HTTP/1.1, 200, 0.052595
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/default/index, HTTP/1.1, 200, 0.056217
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003782
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002201
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002747
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.002680
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.004292
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002396
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003903
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002527
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002715
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002307
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002027
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002711
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002539
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002614
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002739
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002708
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002387
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.002817
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.002224
127.0.0.1, 2013-12-20 16:28:07, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.002319
127.0.0.1, 2013-12-20 16:28:08, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.002200
127.0.0.1, 2013-12-20 16:28:08, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.002570
127.0.0.1, 2013-12-20 16:28:08, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.002227
127.0.0.1, 2013-12-20 16:28:08, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.002430
127.0.0.1, 2013-12-20 16:28:08, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002110
127.0.0.1, 2013-12-20 16:29:35, GET, /admin/default/site, HTTP/1.1, 200, 0.081877
127.0.0.1, 2013-12-20 16:29:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2013-12-20 16:29:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2013-12-20 16:29:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2013-12-20 16:29:45, GET, /admin/default/compile_app/rxncon, HTTP/1.1, 303, 0.391831
127.0.0.1, 2013-12-20 16:29:45, GET, /admin/default/site, HTTP/1.1, 200, 0.064594
127.0.0.1, 2013-12-20 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2013-12-20 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
127.0.0.1, 2013-12-20 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
127.0.0.1, 2013-12-20 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2013-12-20 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2013-12-20 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2013-12-20 16:29:50, GET, /rxncon/default/index, HTTP/1.1, 200, 0.052919
127.0.0.1, 2013-12-20 16:29:58, GET, /rxncon/, HTTP/1.1, 200, 0.062760
127.0.0.1, 2013-12-20 16:30:04, GET, /rxncon/defaulft, HTTP/1.1, 404, 0.054998
127.0.0.1, 2013-12-20 16:30:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000465
127.0.0.1, 2013-12-20 16:30:08, GET, /rxncon/default, HTTP/1.1, 200, 0.059169
127.0.0.1, 2013-12-20 16:30:12, GET, /rxncon/default/index, HTTP/1.1, 200, 0.059344
127.0.0.1, 2013-12-20 16:30:29, GET, /admin/default/peek/rxncon/controllers/default.py, HTTP/1.1, 200, 0.063529
127.0.0.1, 2013-12-20 16:30:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2013-12-20 16:31:12, GET, /admin/default/about/rxncon, HTTP/1.1, 200, 0.062627
127.0.0.1, 2013-12-20 16:31:12, GET, /admin/static/js/jquery.flot.js, HTTP/1.1, 200, 0.002746
127.0.0.1, 2013-12-20 16:31:12, GET, /admin/static/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.002110
127.0.0.1, 2013-12-20 16:31:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2013-12-20 16:31:16, GET, /admin/default/site, HTTP/1.1, 200, 0.085161
127.0.0.1, 2013-12-20 16:31:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2013-12-20 16:31:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2013-12-20 16:31:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2013-12-20 16:31:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2013-12-20 16:31:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2013-12-20 16:31:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000257
