!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compartment' TableName='Compartment'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular	nan		
g	Golgi	nan		
m	Mitochondria	nan		
l	l	nan		
n	Nucleus	nan		
p	periplasm	nan		
r	Endoplasmic reticulum	nan		
x	Glyoxysome	nan		

!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compound' TableName='Compound'
!ID	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge
M_4hphac_c	4hphac_c	c	0	False		nan	False		0
M_4izp_c	4izp_c	c	0	False		nan	False		0
M_4mlacac_c	4mlacac_c	c	0	False		nan	False		0
M_4mop_c	4mop_c	c	0	False		nan	False		0
M_4mptnl_c	4mptnl_c	c	0	False		nan	False		0
M_4mtolbutamide_c	4mtolbutamide_c	c	0	False		nan	False		0
M_4nph_c	4nph_c	c	0	False		nan	False		0
M_4nphsf_c	4nphsf_c	c	0	False		nan	False		0
M_4ppan_c	4ppan_c	c	0	False		nan	False		0
M_4ppcys_c	4ppcys_c	c	0	False		nan	False		0
M_4pyrdx_c	4pyrdx_c	c	0	False		nan	False		0
M_4tmeabut_c	4tmeabut_c	c	0	False		nan	False		0
M_4tmeabutn_c	4tmeabutn_c	c	0	False		nan	False		0
M_56dihindlcrbxlt_c	56dihindlcrbxlt_c	c	0	False		nan	False		0
M_56dthm_c	56dthm_c	c	0	False		nan	False		0
M_56dura_c	56dura_c	c	0	False		nan	False		0
M_5HPET_c	5HPET_c	c	0	False		nan	False		0
M_5adtststerone_c	5adtststerone_c	c	0	False		nan	False		0
M_5adtststeroneglc_c	5adtststeroneglc_c	c	0	False		nan	False		0
M_5adtststerones_c	5adtststerones_c	c	0	False		nan	False		0
M_5aizc_c	5aizc_c	c	0	False		nan	False		0
M_5aop_c	5aop_c	c	0	False		nan	False		0
M_5dhf_c	5dhf_c	c	0	False		nan	False		0
M_5forthf_c	5forthf_c	c	0	False		nan	False		0
M_5fthf_c	5fthf_c	c	0	False		nan	False		0
M_5homeprazole_c	5homeprazole_c	c	0	False		nan	False		0
M_5hoxindact_c	5hoxindact_c	c	0	False		nan	False		0
M_5hoxindoa_c	5hoxindoa_c	c	0	False		nan	False		0
M_5hoxnfkyn_c	5hoxnfkyn_c	c	0	False		nan	False		0
M_5htrp_c	5htrp_c	c	0	False		nan	False		0
M_5hxkyn_c	5hxkyn_c	c	0	False		nan	False		0
M_5hxkynam_c	5hxkynam_c	c	0	False		nan	False		0
M_5mdr1p_c	5mdr1p_c	c	0	False		nan	False		0
M_5mdru1p_c	5mdru1p_c	c	0	False		nan	False		0
M_5mta_c	5mta_c	c	0	False		nan	False		0
M_5mthf_c	5mthf_c	c	0	False		nan	False		0
